Name,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9
1a0b45f3e98201a8fcf21a1184f057ea, IN 792 , MSE 799 , IN 791 , FP 602 ,,,,,
64e5ee9d5b75175e05b0b86ff8f09c5e, IN 791, MSE 628  , IN 791 , FP 602 ,,,,,
85c09153bcb4122200e7c76e2fb658ec, EE 331 , ES 104 , ES 202 , MA 202 , PH 101 , ES 216 , Systems and Networks,,
94159f5125e87b3d2e092c2ef0bbf2ff, CE 304 , CE 307 , CH 301 , HS 515 ,,,,,
8007204a3c7913fd8ac3cb82135fce23, HS 644 , IN 792, EH 608 , MA 632 , IN 791 , FP 602 ,,,
9af0c5e1abf7ff8b3f4221804a41dd60, PH 799 ,,,,,,,,
4f4b3ae8433a01520ca9e4e4987ec34e, MSE 699 ,,,,,,,,
22a232112c7d8a3cfcb9b21989ef015f, CH 301 , HS 103 , HS 305 , MS 304 , MS 406 , EE 499 , BE 402 , PH 615 ,
bb4c4150a32b9e59c1b0d9bc69951b66, EE 331 , ES 202 , HS 201 , MA 202 , ES 216 , Systems and Networks,,,
6c503b38f85f571ee31fac5d741153e1, ES 615 , HS 103 , HS 635 ,,,,,,
43b9ce14186ee99de3cf94a49c1abc1f, ME 699 ,,,,,,,,
1cbe43e358de96843fbfae5ad3d7092d, HS 112 , MA 602 , MA 599 , FP 602 ,,,,,
0ab7d592bb6447762b88b727fca69672, HS 508 , MS 204 ,,,,,,,
bb020ca3316d03222820c6347b541577, HS 406 , MS 204 , HS 599(A) , HS 599(B) , HS 599(C) , MS 304 ,,,
29b206e87d875607003853105b613f0e, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
883eb3a017a9409faf83458d4195beda, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
d518eb1c26582799fc816b70b0611842, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
47d79f664f6f6e2b282fc7f889d6acbc, ES 332 , ME 322 , ME 332 , ME 352 , ME 391 , PH 505 , ME 499 , HS 508 ,
dd73657a9198ddcf86d9dfd59749c959, CE 304 , CE 305 , CE 306 , CE 307 , CE 403 , CE 309 , HS 642 ,,
e176f95b5c6a6af52ad590956f9b0b5b, MA 501 , MA 502 , MA 510 , MA 622 , Ma 624 , FP 602 ,,,
74d57ccc44ede90e0bee80e663fc0aa6, BE 799 ,,,,,,,,
be96a78de2c24a6e536c0b1760cc4f75, HS 201 , CG 601 , BE 608 , BE 605 , BE 699 , MA 632 ,,,
10826d124e599b6ad8410f82307533a8, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , CH 202 ,
fb101fe4f154e8a7d6da3d5909224c53, CE 699 ,,,,,,,,
11de461f2d5296dba0b140e6b2d552f9, CL 324 , CL 602 , MS 204 , HS 514 ,,,,,
16fbb033f0029302061afb427b3819cb, ES 221 , ES 212 , HS 201 , MA 202 , MSE 309 , MSE 201 (N) ,,,
6966e7f346a4a2440efdfee4d4311381, ES 631 , MA 602 , ES 632 , ME 699 ,,,,,
3384d6b5f3dadaa40c02172f2b0eb432, BE 699 ,,,,,,,,
0e879d4e31f6de711961972fbb96f0bf, MA 602 , MA 599 , MA 623 , FP 602 ,,,,,
8f2e9a050c1543b91901e8be1271d7af, CL 321 , CL 352 , CL 422 , CL 424  , HS 635 , MS 499 , MS 304 ,,
ef2b6e8f17b087d0db83f6a869cdd6cc, MSE 799 ,,,,,,,,
aee6668137a8dd564ba49669d9eee341, ES 221 , ES 202 , ES 212 , HS 201 , MA 202 , ME 399 ,,,
a81f6eeea5f78ecac0d747c98905e8a7, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
a3c207ee6f776ea811ae930a84788c28, IN 792 , EE 691 , EE 651 , FP 602 ,,,,,
551cbd98c71d9f381577931cf5af1ca3, HS 103 , MS 204 , HS 104(R) ,,,,,,
0d4b8e2b2e5d7aeeb3f929a069a3efe4, CL 602 , ME 332 , CH 632 ,,,,,,
91d4d48a9f51ff078b9a908bef51e659, ES 631 , MA 602 , ES 632 , ME 699 ,,,,,
6ff4bc807266b47bcb7d3e76eda681b8, CH 517 , CH 599 (B) , CH 599 (C) , CH 632 , FP 602 ,,,,
4c650ddc7c5ea02da7c06c2285b7df83, IN 700 ,,,,,,,,
